hs6,year,n_eu_codes,min_mrl_weakest,lumped,stringency
080720,2023,1,0.001,0,6.9078
080810,2015,1,0.01,0,4.6052
080810,2016,1,0.001,0,6.9078
080810,2017,1,0.001,0,6.9078
080810,2018,1,0.001,0,6.9078
080810,2019,1,0.001,0,6.9078
080810,2020,1,0.001,0,6.9078
080810,2021,1,0.001,0,6.9078
080810,2022,1,0.001,0,6.9078
080810,2023,1,0.001,0,6.9078
080830,2015,1,0.01,0,4.6052
080830,2016,1,0.001,0,6.9078
080830,2017,1,0.001,0,6.9078
080830,2018,1,0.001,0,6.9078
080830,2019,1,0.001,0,6.9078
080830,2020,1,0.001,0,6.9078
080830,2021,1,0.001,0,6.9078
080830,2022,1,0.001,0,6.9078
080830,2023,1,0.001,0,6.9078
080840,2015,1,0.01,0,4.6052
080840,2016,1,0.001,0,6.9078
080840,2017,1,0.001,0,6.9078
080840,2018,1,0.001,0,6.9078
080840,2019,1,0.001,0,6.9078
080840,2020,1,0.001,0,6.9078
080840,2021,1,0.001,0,6.9078
080840,2022,1,0.001,0,6.9078
080840,2023,1,0.001,0,6.9078
080910,2015,1,0.01,0,4.6052
080910,2016,1,0.002,0,6.2146
080910,2017,1,0.002,0,6.2146
080910,2018,1,0.002,0,6.2146
080910,2019,1,0.002,0,6.2146
080910,2020,1,0.002,0,6.2146
080910,2021,1,0.002,0,6.2146
080910,2022,1,0.001,0,6.9078
080910,2023,1,0.001,0,6.9078
080929,2015,1,0.01,0,4.6052
080929,2016,1,0.002,0,6.2146
080929,2017,1,0.002,0,6.2146
080929,2018,1,0.002,0,6.2146
080929,2019,1,0.002,0,6.2146
080929,2020,1,0.002,0,6.2146
080929,2021,1,0.002,0,6.2146
080929,2022,1,0.001,0,6.9078
080929,2023,1,0.001,0,6.9078
080930,2015,1,0.01,0,4.6052
080930,2016,1,0.002,0,6.2146
080930,2017,1,0.002,0,6.2146
080930,2018,1,0.002,0,6.2146
080930,2019,1,0.002,0,6.2146
080930,2020,1,0.002,0,6.2146
080930,2021,1,0.002,0,6.2146
080930,2022,1,0.001,0,6.9078
080930,2023,1,0.001,0,6.9078
080940,2015,1,0.01,0,4.6052
080940,2016,1,0.002,0,6.2146
080940,2017,1,0.002,0,6.2146
080940,2018,1,0.002,0,6.2146
080940,2019,1,0.002,0,6.2146
080940,2020,1,0.002,0,6.2146
080940,2021,1,0.002,0,6.2146
080940,2022,1,0.001,0,6.9078
080940,2023,1,0.001,0,6.9078
081010,2015,1,0.01,0,4.6052
081010,2016,1,0.005,0,5.2983
081010,2017,1,0.005,0,5.2983
081010,2018,1,0.005,0,5.2983
081010,2019,1,0.005,0,5.2983
081010,2020,1,0.005,0,5.2983
081010,2021,1,0.005,0,5.2983
081010,2022,1,0.001,0,6.9078
081010,2023,1,0.001,0,6.9078
081020,2015,1,0.01,0,4.6052
081020,2016,1,0.01,0,4.6052
081020,2017,1,0.01,0,4.6052
081020,2018,1,0.01,0,4.6052
081020,2019,1,0.01,0,4.6052
081020,2020,1,0.01,0,4.6052
081020,2021,1,0.005,0,5.2983
081020,2022,1,0.001,0,6.9078
081020,2023,1,0.001,0,6.9078
081030,2015,1,0.01,0,4.6052
081030,2016,1,0.01,0,4.6052
081030,2017,1,0.01,0,4.6052
081030,2018,1,0.01,0,4.6052
081030,2019,1,0.01,0,4.6052
081030,2020,1,0.01,0,4.6052
081030,2021,1,0.005,0,5.2983
081030,2022,1,0.001,0,6.9078
081030,2023,1,0.001,0,6.9078
081040,2015,1,0.01,0,4.6052
081040,2016,1,0.01,0,4.6052
081040,2017,1,0.01,0,4.6052
081040,2018,1,0.01,0,4.6052
081040,2019,1,0.01,0,4.6052
081040,2020,1,0.01,0,4.6052
081040,2021,1,0.005,0,5.2983
081040,2022,1,0.001,0,6.9078
081040,2023,1,0.001,0,6.9078
081050,2015,1,0.01,0,4.6052
